"Внешний код";"Наименование элемента";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена"""
"";"";"";"";"Подсветка";"Профиль";"Серия LG";"";""
"00-00010362";"Алюминиевый профиль Design LED без видимой рамки LG49, 2500 мм, анодированный";"010362";"DesignLed";"Профильные системы";"Профили для ленты";"Серия LG";"8637.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Серия LG";"";""
"00-00014741";"Алюминиевый профиль SWG Pro";"014741";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"5062.00";"RUB"
"";"";"";"";"Подсветка";"Профиль";"Профиль PRO";"";""
"00-00019210";"Алюминиевый профиль SWG Pro ";"019210";"SWG PRO";"Профильные системы";"Профили для ленты";"Профиль PRO";"5062.00";"RUB"
"00-00003777";"Антибликовая решетка COMBO";"003777";"SWG PRO";"Светильники";"Потолочные";"Светильники-конструкторы";"283.00";"RUB"
"";"";"";"";"Светильники";"COMBO";"";"";""
"00-00008802";"Антибликовая решетка Honeycomb C2-GL-HC";"008802";"";"Светильники";"COMBO 2";"";"637.00";"RUB"
"00-00014425";"Антибликовая решетка RINK";"014425";"Lumker";"Светильники";"Потолочные";"Накладные потолочные ";"236.00";"RUB"
"00-00007491";"Байпас для диммера ESB-AC-DIM400";"007491";"EasyDim";"Управление светом";"Беспроводная система Easybus";"";"637.00";"RUB"
"";"";"";"";"Управление светом";"Беспроводная система Easybus";"Приемники";"";""
"9845";"Без аксессуара";"-";"";"Светильники";"COMBO 2";"";"";""
"9991";"Без драйвера";"-";"";"Светильники";"COMBO 2";"";"0.00";"RUB"
"10063";"Без провода";"";"";"Светильники";"COMBO 2";"";"";""
"00-00005653";"Блок питания L-100-24-LUX";"005653";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"3528.00";"RUB"
"00-00005654";"Блок питания L-150-24-LUX";"005654";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"5380.00";"RUB"
"00-00001127";"Блок питания L-18-12";"001127";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"590.00";"RUB"
"00-00005655";"Блок питания L-200-24-LUX";"005655";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"7044.00";"RUB"
"00-00001128";"Блок питания L-24-12";"001128";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"695.00";"RUB"
"00-00005651";"Блок питания L-24-24";"005651";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"650.00";"RUB"
"00-00005656";"Блок питания L-240-24-LUX";"005656";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"8118.00";"RUB"
"00-00001129";"Блок питания L-36-12";"001129";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"924.00";"RUB"
"00-00003168";"Блок питания L-36-24";"003168";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"839.00";"RUB"
"00-00003167";"Блок питания L-48-12";"003167";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1047.00";"RUB"
"00-00003169";"Блок питания L-48-24";"003169";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"942.00";"RUB"
"00-00003435";"Блок питания L-60-12";"003435";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1241.00";"RUB"
"00-00004317";"Блок питания L-60-24";"004317";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1137.00";"RUB"
"00-00004763";"Блок питания L-75-12";"004763";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1451.00";"RUB"
"00-00004764";"Блок питания L-75-24";"004764";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1331.00";"RUB"
"00-00006400";"Блок питания Linea light 81416";"006400";"";"Светильники";"Люстры";"Италия";"6832.00";"RUB"
"00-00006415";"Блок питания Linea light Slim 89145";"006415";"";"Светильники";"Люстры";"Италия";"6289.00";"RUB"
"00-00003589";"Блок питания LRS-100-24";"003589";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"5109.00";"RUB"
"00000000095";"Блок питания LV-100-12";"000095";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"4165.00";"RUB"
"00000000269";"Блок питания LV-100-24";"000269";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"4377.00";"RUB"
"00000000096";"Блок питания LV-12-12";"000096";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"979.00";"RUB"
"00000000355";"Блок питания LV-12-24";"000355";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1026.00";"RUB"
"00000000230";"Блок питания LV-15-12";"000230";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1180.00";"RUB"
"00000000097";"Блок питания LV-20-12";"000097";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1250.00";"RUB"
"00000001091";"Блок питания LV-20-24";"001091";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1463.00";"RUB"
"00000000099";"Блок питания LV-35-12";"000099";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1781.00";"RUB"
"00000000356";"Блок питания LV-35-24";"000356";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1923.00";"RUB"
"00000000274";"Блок питания LV-40-12a";"000274";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1899.00";"RUB"
"00000000255";"Блок питания LV-5-12";"000255";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"637.00";"RUB"
"00000000101";"Блок питания LV-50-12";"000101";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2017.00";"RUB"
"00000000270";"Блок питания LV-50-24";"000270";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2124.00";"RUB"
"00000000102";"Блок питания LV-60-12";"000102";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2643.00";"RUB"
"00000000357";"Блок питания LV-60-24";"000357";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2773.00";"RUB"
"00000000103";"Блок питания LV-75-12";"000103";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"3162.00";"RUB"
"00000000271";"Блок питания LV-75-24";"000271";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"3327.00";"RUB"
"00-00001273";"Блок питания MTPW-100-12";"001273";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3512.00";"RUB"
"00-00001691";"Блок питания MTPW-100-24";"001691";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3512.00";"RUB"
"00-00001275";"Блок питания MTPW-150-12";"001275";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3801.00";"RUB"
"00-00001276";"Блок питания MTPW-150-24";"001276";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3801.00";"RUB"
"00-00001277";"Блок питания MTPW-200-12";"001277";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"4323.00";"RUB"
"00-00001280";"Блок питания MTPW-200-24";"001280";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"4323.00";"RUB"
"00-00001278";"Блок питания MTPW-250-12";"001278";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"5449.00";"RUB"
"00-00001692";"Блок питания MTPW-250-24";"001692";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"5449.00";"RUB"
"00-00005626";"Блок питания MTPW-30-12";"005626";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1576.00";"RUB"
"00-00005629";"Блок питания MTPW-30-24";"005629";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1576.00";"RUB"
"00-00001279";"Блок питания MTPW-300-12";"001279";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"7025.00";"RUB"
"09-00901281";"Блок питания MTPW-300-24";"901281";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"7025.00";"RUB"
"00-00001871";"Блок питания MTPW-350-12";"001871";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"8467.00";"RUB"
"00-00009136";"Блок питания MTPW-350-24";"009136";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"8467.00";"RUB"
"00-00005627";"Блок питания MTPW-40-12";"005627";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1972.00";"RUB"
"00-00005630";"Блок питания MTPW-40-24";"005630";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1972.00";"RUB"
"00-00005628";"Блок питания MTPW-60-12";"005628";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"2882.00";"RUB"
"00-00005631";"Блок питания MTPW-60-24";"005631";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"2882.00";"RUB"
"00-00010761";"Блок питания MTPW-600-12";"010761";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"11349.00";"RUB"
"00-00010762";"Блок питания MTPW-600-24";"010762";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"11349.00";"RUB"
