"Внешний код";"Длинное наименование [OLD_NAME]";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Количество на складе ""Основной склад (с. Дмитровское)"""
"00-00001127";"Блок питания сверxтонкий, 18 W, 12V";"001127";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"590.00";"RUB";"836"
"00-00005655";"Блок питания для светодиодной ленты LUX сверхтонкий, 24В, 200Вт, IP20";"005655";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"7044.00";"RUB";"0"
"00-00001128";"Блок питания сверxтонкий, 24 W, 12V";"001128";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"695.00";"RUB";"430"
"00-00005651";"Блок питания сверxтонкий, 24 W, 24V";"005651";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"650.00";"RUB";"145"
"00-00005656";"Блок питания для светодиодной ленты LUX сверхтонкий, 24В, 240Вт, IP20";"005656";"Lumker";"Подсветка";"Блоки питания";"LUMKER L-LUX. Сверхтонкие LUX IP20";"8118.00";"RUB";"129"
"00-00001129";"Блок питания сверxтонкий, 36 W, 12V";"001129";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"924.00";"RUB";"1684"
"00-00003168";"Блок питания сверxтонкий, 36 W, 24V";"003168";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"839.00";"RUB";"513"
"00-00003167";"Блок питания сверxтонкий, 48 W, 12V";"003167";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1047.00";"RUB";"0"
"00-00003169";"Блок питания сверxтонкий, 48 W, 24V";"003169";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"942.00";"RUB";"41"
"00-00003435";"Блок питания сверxтонкий, 60W, 12V";"003435";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1241.00";"RUB";"1366"
"00-00004317";"Блок питания сверxтонкий, 60 W, 24V";"004317";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1137.00";"RUB";"310"
"00-00004763";"Блок питания сверxтонкий, 75W, 12V";"004763";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1451.00";"RUB";"99"
"00-00004764";"Блок питания сверxтонкий, 75 W, 24V";"004764";"SWG";"Подсветка";"Блоки питания";"SWG L. Сверхтонкие IP20";"1331.00";"RUB";"3"
"00-00006400";"Блок постоянного питания 120Вт, 81416";"006400";"";"Светильники";"Люстры";"Италия";"6832.00";"RUB";""
"00-00006415";"Трансформатор Slim 350mA 3-7W. IP20, 89145";"006415";"";"Светильники";"Люстры";"Италия";"6289.00";"RUB";""
"00-00003589";"Блок питания для серии SY  100W Серебро LRS-100-24";"003589";"DesignLed";"Светильники";"Трековые системы";"Низковольтная трековая система SY";"5109.00";"RUB";""
"00000000095";"Блок Питания для ленты IP 67 пластик 100 W, 12V";"000095";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"4165.00";"RUB";"83"
